identifier,y_sim,y_exp,smiles,fold
CHEMBL46401,-8.24547,CHEMBL46401,60.0,4
CHEMBL188312,-8.71944,CHEMBL188312,60.0,3
CHEMBL1076721,-7.99061,CHEMBL1076721,62.0,3
CHEMBL1972221,-8.78417,CHEMBL1972221,63.1,3
CHEMBL1980253,-8.25798,CHEMBL1980253,63.1,1
CHEMBL1965660,-8.08304,CHEMBL1965660,63.1,0
CHEMBL1995740,-10.01877,CHEMBL1995740,63.1,1
CHEMBL1969473,-9.9047,CHEMBL1969473,63.1,2
CHEMBL1976455,-9.03047,CHEMBL1976455,63.1,1
CHEMBL565460,-10.60806,CHEMBL565460,69.0,0
CHEMBL47590,-7.85517,CHEMBL47590,70.0,4
CHEMBL1086736,-7.41,CHEMBL1086736,76.0,4
CHEMBL568483,-10.7939,CHEMBL568483,76.0,0
CHEMBL1725279,-8.15325,CHEMBL1725279,79.43,2
CHEMBL1983595,-10.75528,CHEMBL1983595,79.43,0
CHEMBL2002726,-10.7886,CHEMBL2002726,79.43,1
CHEMBL2004631,-9.15839,CHEMBL2004631,79.43,0
CHEMBL1964444,-8.74685,CHEMBL1964444,79.43,1
CHEMBL1084546,-9.61321,CHEMBL1084546,79.43,1
CHEMBL396523,-9.38854,CHEMBL396523,79.43,0
CHEMBL295127,-7.56488,CHEMBL295127,80.0,3
CHEMBL362722,-8.71009,CHEMBL362722,80.0,2
CHEMBL277351,-9.42637,CHEMBL277351,84.0,3
CHEMBL4076947,-9.16676,CHEMBL4076947,89.0,0
CHEMBL185310,-8.61356,CHEMBL185310,90.0,1
CHEMBL1080902,-8.62794,CHEMBL1080902,95.0,0
CHEMBL1982400,-9.98578,CHEMBL1982400,100.0,4
CHEMBL1993424,-9.30241,CHEMBL1993424,100.0,3
CHEMBL1967662,-9.48828,CHEMBL1967662,100.0,1
CHEMBL433068,-8.14738,CHEMBL433068,100.0,1
CHEMBL1978099,-9.79512,CHEMBL1978099,100.0,1
CHEMBL3099750,-10.78337,CHEMBL3099750,100.0,4
CHEMBL296586,-8.12674,CHEMBL296586,100.0,2
CHEMBL482967,-9.20051,CHEMBL482967,100.0,1
CHEMBL1969561,-8.3468,CHEMBL1969561,100.0,1
CHEMBL3099752,-9.73198,CHEMBL3099752,100.0,2
CHEMBL185323,-8.21575,CHEMBL185323,100.0,1
CHEMBL1974328,-8.99743,CHEMBL1974328,100.0,3
CHEMBL1980562,-9.32112,CHEMBL1980562,100.0,2
