identifier,y_sim,y_exp,smiles,fold
CHEMBL3910842,-10.60413,2.782,Fc1ccc2c(noc2c1)C1CCN(CC[C@H]2CC[C@@H](CC2)NC(=O)CC(F)(F)F)CC1,4
CHEMBL3915293,-10.08268,2.795,Cc1ccn(CC(=O)N[C@H]2CC[C@H](CCN3CCC(CC3)c3noc4cc(F)ccc34)CC2)n1,3
CHEMBL328257,-9.25791,2.8,CCN(CC)CCc1c([nH]c2ccccc12)-c1ccccc1,0
CHEMBL1957819,-10.54629,2.8,Fc1ccc(CCN2CCN(CC2)C(=O)c2cccn3cc(nc23)C#N)c(F)c1,3
CHEMBL349057,-11.48105,2.8,Nc1cc(F)ccc1C(=O)CCCN1CC[C@@H]2[C@H](C1)c1cccc3OCCN2c13,4
CHEMBL3290005,-11.90445,2.8,Fc1ccc2c(noc2c1)C1CCN(CCCNS(=O)(=O)c2ccc3ccccc3c2)CC1,3
CHEMBL4780470,-11.04334,2.818,Cc1c(sc2ccc(Cl)cc12)S(=O)(=O)N[C@@H]1CCN(CCCc2noc3ccccc23)C1,1
CHEMBL3676863,-11.26002,2.88,O=C(N[C@H]1CC[C@H](CCN2CCC(CC2)c2coc3ccccc23)CC1)C1CCCO1,3
CHEMBL3642707,-9.56127,2.9,CS(=O)(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)c2nccc3sccc23)CC1,2
CHEMBL150210,-10.76963,2.9,Fc1ccc(CCN2CCC3(CC2)CCc2ccccc2C3)c(F)c1,0
CHEMBL207386,-12.16419,2.9,Fc1ccc(CCC2CCN(CC2)C(=O)c2cccc3cccnc23)c(F)c1,3
CHEMBL57000,-6.49525,2.9,CNCCc1cc(OC)c(Br)cc1OC,3
CHEMBL3233429,-10.83722,2.9,Fc1ccc(cc1)C(=O)CCCN1CC[C@H]2[C@@H](C1)c1cccc3CCN2c13,1
CHEMBL213424,-8.05744,2.9,CN1CCN(CC1)C1=Nc2cc(Cl)ccc2N(NC(=O)c2c(C)cccc2N)c2ccccc12,4
CHEMBL3642689,-9.99157,2.9,O=C(N[C@H]1CC[C@H](CCN2CCN(CC2)c2nccc3occc23)CC1)C1CCOCC1,4
CHEMBL3642708,-9.35362,2.9,CCS(=O)(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)c2nccc3sccc23)CC1,0
CHEMBL1774065,-9.71984,2.9,Clc1cccc(N2CCN(CCCCOc3cc4[nH]c(=O)ccc4cn3)CC2)c1Cl,4
CHEMBL5082267,-11.21687,2.951,Fc1ccc2c(CCCN3CCC(CS(=O)(=O)c4cccc(c4)C(F)(F)F)C3)noc2c1,4
