identifier,y_sim,y_exp,smiles,fold
CHEMBL365229,-9.93432,10.0,[H]N(C1=NC(=C([H])C([H])=N1)C1=C2C([H])=C([H])C([H])=NN2N=C1[H])C1=C([H])C(Br)=C([H])C(=C1[H])C(F)(F)F,4
CHEMBL360206,-9.63919,10.0,[H]N(C1=NC(=C([H])C([H])=N1)C1=C2C([H])=C([H])C([H])=NN2N=C1[H])C1=C([H])C(OC([H])([H])[H])=C([H])C(=C1[H])C(F)(F)F,4
CHEMBL359999,-8.33352,10.0,[H]N(C1=NC(=C([H])C([H])=N1)C1=C2C([H])=C([H])C([H])=NN2N=C1[H])C1=C([H])C(OC([H])([H])[H])=C([H])C(OC([H])([H])[H])=C1[H],1
CHEMBL1998159,-10.48085,10.0,[H]N([H])[C@@]([H])(C([H])([H])OC1=C([H])N=C([H])C(=C1[H])C1=NC([H])=C2N([H])N=C(C2=C1[H])C([H])([H])[H])C([H])([H])C1=C([H])C(=C([H])C([H])=C1[H])C(F)(F)F,4
CHEMBL188665,-9.90357,10.0,[H]N(C1=NC(=C([H])C([H])=N1)C1=C2C([H])=C([H])C([H])=NN2N=C1[H])C1=C([H])C(=C(Cl)C([H])=C1[H])C(F)(F)F,0
CHEMBL189455,-8.98853,10.0,[H]N(C1=NC(=C([H])C([H])=N1)C1=C2C([H])=C([H])C([H])=NN2N=C1[H])C1=C([H])C2=C(OC([H])([H])O2)C([H])=C1[H],3
CHEMBL359963,-9.89399,10.0,[H]N(C1=NC(=C([H])C([H])=N1)C1=C2C([H])=C([H])C([H])=NN2N=C1[H])C1=C([H])C([H])=C(C([H])=C1[H])C([H])(C([H])([H])[H])C([H])([H])[H],0
CHEMBL1992220,-9.75666,10.0,[H]N(C(=O)N([H])[C@@]1([H])C([H])([H])C([H])([H])[C@]([H])(N([H])C2=NC(=C([H])C(Cl)=N2)C2=C([H])N([H])C3=NC([H])=C([H])C([H])=C23)C([H])([H])C1([H])[H])C([H])([H])C([H])([H])[H],1
CHEMBL1995813,-8.93718,12.59,[H]N([H])[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]1([H])N([H])C1=NC(=C([H])C([H])=N1)C1=C([H])N([H])C2=NC([H])=C([H])C([H])=C12,4
CHEMBL1990162,-10.3423,12.59,[H]N(C(=O)C1=C([H])C([H])=C(C#N)C([H])=C1[H])C1=NN([H])C2=C([H])C([H])=C(C([H])=C12)C1=C([H])N(N=N1)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],3
CHEMBL1986943,-9.21727,12.59,[H]O[C@@]1([H])C([H])([H])C([H])([H])[C@]([H])(N([H])C2=NC(=C([H])C(Cl)=N2)C2=C([H])N([H])C3=NC([H])=C([H])C([H])=C23)C([H])([H])C1([H])[H],1
CHEMBL1966204,-10.44535,12.59,[H]N(C(=O)C1=C([H])C([H])=C(F)C([H])=C1[H])C1=NN([H])C2=C([H])C([H])=C(C([H])=C12)C1=C([H])N(N=N1)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],0
CHEMBL1991078,-10.63776,12.59,[H]N(C(=O)C1=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C([H])=C1[H])C1=NN([H])C2=C([H])C([H])=C(C([H])=C12)C1=C([H])N(N=N1)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],1
CHEMBL592030,-10.15751,12.59,[H]N([H])C1=NC([H])=C2N(C([H])=C(C2=N1)C1=C([H])C2=C(N([H])N=C2[H])C(=C1[H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2S1)C([H])([H])C([H])([H])C([H])([H])N([H])[H],0
CHEMBL385733,-9.33158,13.0,[H]N([H])C1=C(C([H])=NC(=N1)N([H])C1([H])C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])S(=O)(=O)C([H])([H])[H])C(=O)C1=C(OC([H])([H])[H])C([H])=C([H])C([H])=C1F,1
CHEMBL265903,-10.06321,15.0,[H]N([H])C1=C(C([H])=NC(=N1)N([H])C1([H])C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])S(=O)(=O)C([H])([H])[H])C(=O)C1=C(F)C([H])=C([H])C([H])=C1F,3
CHEMBL2005509,-9.77906,15.85,[H]N(C(=O)N([H])[C@@]1([H])C([H])([H])C([H])([H])[C@]([H])(N([H])C2=NC(=C([H])C(Cl)=N2)C2=C([H])N([H])C3=NC([H])=C([H])C([H])=C23)C([H])([H])C1([H])[H])C([H])([H])[H],2
CHEMBL302449,-4.20984,15.85,[H]N1C(=O)C2=C3C4=C([H])C([H])=C([H])C([H])=C4N(C3=C3N(C4=C([H])C([H])=C([H])C([H])=C4C3=C2C1([H])[H])C([H])([H])C([H])([H])C#N)C([H])([H])[H],2
CHEMBL1985406,-8.71821,15.85,[H]N(C(=O)C([H])([H])C([H])([H])C([H])([H])[H])C1=NN([H])C2=C([H])C([H])=C(C([H])=C12)C1=C(F)C(F)=C([H])C([H])=C1[H],1
CHEMBL2002346,-9.82542,15.85,[H]N(C1=NC([H])=NC(=C1[H])C1=C([H])N([H])C2=NC([H])=C([H])C([H])=C12)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],1
CHEMBL1983111,-10.35803,15.85,[H]N(C(=O)C([H])([H])[H])C([H])([H])C(=O)N1[C@@]2([H])C3=C(C([H])=C(N([H])C4=NC(N([H])C5([H])C([H])([H])C([H])([H])C5([H])[H])=C(C([H])=N4)C(F)(F)F)C([H])=C3[H])[C@]1([H])C([H])([H])C2([H])[H],2
CHEMBL1241473,-8.21079,15.85,[H]N([H])C(=O)C1=C(N([H])C2=C(C([H])=NC(=N2)N([H])C2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])[N+]([O-])=O)C([H])=C([H])C([H])=C1[H],3
CHEMBL565459,-10.73009,16.0,[H]OC([H])([H])[C@@]([H])(N([H])C(=O)C1=C([H])C(=C([H])N1[H])C1=C(C([H])=NC(=N1)N([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])[H])C1=C([H])C([H])=C([H])C([H])=C1[H],0
CHEMBL1987073,-10.33243,19.95,[H]N(C(=O)C1=C([H])C([H])=C(Cl)C([H])=C1[H])C1=NN([H])C2=C([H])C([H])=C(C([H])=C12)C1=C([H])N(N=N1)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],1
CHEMBL1996980,-9.25506,19.95,[H]N(C(=O)C([H])([H])N([H])C([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@]([H])(N([H])C2=NC(=C([H])C(Cl)=N2)C2=C([H])N([H])C3=NC([H])=C([H])C([H])=C23)C([H])([H])C1([H])[H],3
CHEMBL1986263,-8.22186,19.95,[H]N(C1=NC([H])=C([H])C(=N1)C1=C(N(C(=O)S1)C([H])([H])C([H])([H])[H])C([H])([H])[H])C1=C([H])C(OC([H])([H])[H])=C([H])C([H])=C1[H],4
CHEMBL1969588,-10.64708,19.95,[H]N(C1=C([H])C(=C([H])C(Cl)=N1)C1=C([H])N([H])C2=NC([H])=C([H])C([H])=C12)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],2
CHEMBL295484,-8.29747,20.0,[H]N(C1=NC(=C([H])C([H])=N1)C1=C(N=C(S1)C([H])([H])[H])C([H])([H])[H])C1=C([H])C(=C(C([H])=C1[H])N(C([H])([H])[H])C([H])([H])[H])[N+]([O-])=O,2
CHEMBL188938,-8.67905,20.0,[H]N(C1=NC(=C([H])C([H])=N1)C1=C2C([H])=C([H])C([H])=NN2N=C1[H])C1=C([H])C([H])=C(C([H])=C1[H])[N+]([O-])=O,3
CHEMBL186288,-8.98811,20.0,[H]N(C1=NC([H])=C([H])C(=N1)C1=C2C([H])=C([H])C(OC([H])([H])[H])=NN2N=C1[H])C1=C([H])C([H])=C(C([H])=C1[H])[N+]([O-])=O,2
CHEMBL186680,-9.96674,20.0,[H]N(C1=NC(=C([H])C([H])=N1)C1=C2C([H])=C([H])C(=NN2N=C1[H])C([H])([H])[H])C1=C([H])C(OC([H])([H])[H])=C([H])C(=C1[H])C(F)(F)F,1
CHEMBL216126,-9.65215,24.0,[H]N([H])C1=C(C([H])=NC(=N1)N([H])C1([H])C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])S(=O)(=O)C([H])([H])[H])C(=O)C1=C(OC([H])([H])[H])C([H])=C([H])C([H])=C1[H],2
CHEMBL1988163,-9.46976,25.12,[H]N([H])S(=O)(=O)C1=C([H])C(N([H])C2=NC3=C(C([H])=C([H])N3C3=C([H])C([H])=C([H])C([H])=C3[H])C([H])=N2)=C([H])C([H])=C1[H],0
CHEMBL1979970,-8.22804,25.12,[H]N(C(=O)C([H])([H])C([H])([H])C([H])([H])[H])C1=NN([H])C2=NN=C(C([H])=C12)C1=C(F)C(F)=C([H])C([H])=C1[H],2
CHEMBL1969151,-9.33337,25.12,[H]N(C1=NC(=C([H])C(Cl)=N1)C1=C([H])N([H])C2=NC([H])=C([H])C([H])=C12)[C@@]1([H])C([H])([H])C([H])([H])[C@]([H])(N(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H],0
CHEMBL1991063,-10.25588,25.12,[H]N([H])[C@@]([H])(C([H])([H])OC1=C([H])N=C([H])C(=C1[H])C1=C([H])C([H])=C2N([H])N=C(C2=C1[H])C([H])([H])[H])C([H])([H])C1=C([H])C(Cl)=C(Cl)C([H])=C1[H],1
CHEMBL1975128,-9.03908,25.12,[H]N([H])C1=NN([H])C2=C([H])C([H])=C(C([H])=C12)C1=C(I)N(N=N1)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],2
CHEMBL1995811,-11.15856,25.12,[H]N(C(=O)C1=C(F)C([H])=C([H])C(F)=C1[H])C1=NN([H])C2=C([H])C([H])=C(C([H])=C12)C1=C([H])N(N=N1)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],3
CHEMBL1965631,-9.26108,25.12,[H]N(C(=O)C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C1=NN([H])C2=C([H])C([H])=C(C([H])=C12)C1=C([H])N(N=N1)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],1
CHEMBL1974870,-10.41149,25.12,[H]N([H])[C@@]([H])(C([H])([H])OC1=C([H])N=C([H])C(=C1[H])C1=C([H])C([H])=C2N([H])N=C(C2=C1[H])C([H])([H])[H])C([H])([H])C1=C([H])C(Cl)=C([H])C([H])=C1[H],3
CHEMBL360530,-8.15469,30.0,[H]OC1=C([H])C([H])=C([H])C(N([H])C2=NC([H])=C([H])C(=N2)C2=C(N([H])C(C#N)=C2C([H])([H])[H])C([H])([H])[H])=C1[H],2
CHEMBL431336,-8.02083,30.0,[H]OC1=C([H])C([H])=C(N([H])C2=NC([H])=C([H])C(=N2)C2=C(N=C(S2)N([H])[H])C([H])([H])[H])C([H])=C1[H],3
CHEMBL364767,-8.59299,30.0,[H]N(C1=NC([H])=C([H])C(=N1)C1=C(N([H])C(=C1C([H])([H])[H])[N+]([O-])=O)C([H])([H])[H])C1=C([H])C([H])=C(F)C([H])=C1[H],4
CHEMBL1973720,-9.22624,31.62,[H]N([H])[C@@]1([H])C([H])([H])C([H])([H])[C@]([H])(N([H])C2=NC(=C([H])C(Cl)=N2)C2=C([H])N([H])C3=NC([H])=C([H])C([H])=C23)C([H])([H])C1([H])[H],4
CHEMBL1977128,-10.36129,31.62,[H]N(C(=O)C1=C([H])C(C#N)=C([H])C([H])=C1[H])C1=NN([H])C2=C([H])C([H])=C(C([H])=C12)C1=C([H])N(N=N1)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],1
CHEMBL50894,-8.3896,31.62,[H]N1C2=C(C([H])=C(C([H])=C2[H])[N+]([O-])=O)C2=C1C1=C(N([H])C(=O)C2([H])[H])C([H])=C([H])C([H])=C1[H],0
CHEMBL1969920,-8.79082,31.62,[H]N1C([H])=C(C2=C([H])C([H])=C([H])N=C12)C1=C([H])C(=NC(Cl)=C1[H])N(C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],1
CHEMBL1975418,-8.70194,31.62,[H]N1N=C([H])C2=C1C([H])=C([H])C(=C2[H])C1=C(N(N=N1)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C1([H])C([H])([H])C1([H])[H],0
