identifier,y_sim,y_exp,smiles,fold
CHEMBL14355,-8.39414,28.4,Cc1nccc2c3ccc(OCCO)cc3[nH]c12,0
CHEMBL1645546,-8.15298,29.5,COCCOc1ccc2c(c1)[nH]c1c(C)nccc21,3
CHEMBL229472,-7.27847,30.0,CCCSc1ccc(C[C@H](C)N)cc1,4
CHEMBL2437021,1.22942,30.0,Oc1ccccc1C1=NN(C(C1)c1ccc(Cl)cc1)C(=O)Oc1ccccc1,1
CHEMBL1760721,-3.41541,32.16,[O-][N+](=O)c1cccc(c1)C1CC(=NN1)c1c2ccccc2cc2ccccc12,4
CHEMBL4798970,-5.29927,33.0,COCCNc1nnc(SCC(=O)N(Cc2cccc(c2)[N+]([O-])=O)c2ccc(F)cc2)s1,2
CHEMBL3310023,5.49043,34.0,Cc1ccc(\C=C\C(=N/NC(=O)c2cccs2)\c2ccc(Cl)cc2)cc1,2
CHEMBL3310027,11.53291,34.0,COc1ccc(\C=C\C(=N/NC(=O)c2ccc(OC)cc2)\c2ccc(Cl)cc2)cc1,3
CHEMBL1645553,-8.02282,35.4,Cc1nccc2c3ccc(OCc4ccncc4)cc3[nH]c12,2
CHEMBL602260,-8.35763,36.0,Cn1c(OCc2cccc(Cl)c2)nc2n(C)c(=O)n(C)c(=O)c12,3
CHEMBL17594,-9.84062,39.0,Oc1ccc(O)c2C(=O)c3ccccc3C(=O)c12,3
CHEMBL3310015,7.42769,40.0,Cc1ccc(cc1)[C@H]1CC(=NN1C(=O)c1ccccc1)c1cc(Br)ccc1O,1
CHEMBL4756249,5.41585,40.0,Cc1ccc(cc1)C1CC(=NN1C(=O)Cn1c2cc(Cl)ccc2oc1=O)c1ccccc1,3
CHEMBL3310029,5.55049,41.0,COc1ccc(cc1)\C(\C=C\c1ccc(C)cc1)=N/NC(=O)c1snnc1C,0
CHEMBL3310021,11.57778,45.0,COc1ccc(\C=C\C(=N/NC(=O)c2ccc(OC)cc2)\c2ccc(Br)cc2)cc1,4
CHEMBL4740793,8.18609,50.0,COc1ccccc1C1=NN(C(C1)c1ccccc1Cl)C(=O)Cn1c2cc(Cl)ccc2oc1=O,0
CHEMBL4762679,6.21143,50.0,Cc1ccc(cc1)C1=NN(C(C1)c1ccccc1)C(=O)Cn1c2cc(C)ccc2oc1=O,3
CHEMBL602466,-8.18426,51.0,Cn1c(OCc2cccc(c2)C(F)(F)F)nc2n(C)c(=O)n(C)c(=O)c12,1
CHEMBL5218579,-10.60042,52.0,O=c1[nH]c2ccc(OCc3ccccc3)cc2c(=O)o1,3
CHEMBL4292235,0.58644,57.0,CN(C)CCOC(=O)\C=C\c1ccc2oc(cc(=O)c2c1)C(=O)Nc1ccc(C)cc1,0
CHEMBL1813523,-10.12462,58.0,Brc1ccc(COc2ccc3C(=O)NC(=O)c3c2)cc1,0
CHEMBL243664,-9.06609,59.2,COc1ccc(cc1)-c1cc(=O)c2c(O)cc(O)cc2o1,2
CHEMBL3780199,1.19044,60.0,COc1cc(ccc1O)C1=NN(C(C1)c1ccccc1)S(=O)(=O)c1ccc(C)cc1,4
CHEMBL4754569,0.52341,60.0,COc1cccc(c1)C1=NN(C(C1)c1ccccc1Cl)C(=O)Cn1c2ccccc2oc1=O,2
CHEMBL466872,-9.28481,61.0,O=C1Nc2ccc(\C=C\c3ccccc3)cc2C1=O,0
CHEMBL4749487,7.85884,65.0,COc1ccc(cc1)C1=NN(C(C1)c1ccccc1Cl)C(=O)Cn1c2cc(Cl)ccc2oc1=O,0
CHEMBL1760718,-6.32302,69.91,Oc1ccccc1C1CC(=NN1)c1c2ccccc2cc2ccccc12,2
CHEMBL387777,-7.12775,75.0,CCSc1ccc(C[C@H](C)N)cc1,3
CHEMBL4289477,-8.84986,80.0,COc1cc(ccc1O)C1=NNC(C1)c1ccc(Cl)cc1,3
CHEMBL1760719,-2.01815,81.54,Oc1ccc(C2CC(=NN2)c2c3ccccc3cc3ccccc23)c(O)c1,1
CHEMBL287445,-9.08534,82.0,CC(NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,3
CHEMBL1796449,-1.61771,90.0,COc1ccc(NC(=S)N2N=C(CC2c2ccc(O)cc2)c2ccccc2)cc1,3
CHEMBL3310022,3.18219,91.0,COc1ccc(\C=C\C(=N/NC(=O)c2ccco2)\c2ccc(Br)cc2)cc1,0
CHEMBL1645554,-7.24647,100.0,Cc1nccc2c3ccc(OCc4ccc5ccccc5c4)cc3[nH]c12,0
CHEMBL3219618,-5.81712,100.0,CN(C)c1ccc(cc1)\N=C\c1ccccn1,1
CHEMBL1796445,-1.93082,100.0,COc1cccc(NC(=S)N2N=C(CC2c2ccccc2O)c2ccccc2)c1,0
